step,train_loss,lr,grad_norm,tokens_per_second,elapsed_minutes,tokens_processed,val_loss,val_train_loss
9160,3.1152,0.000328,0.172,183174.0,216.2,2701393920,,
9170,3.0423,0.000328,0.195,183138.0,216.5,2704343040,,
9180,3.0676,0.000327,0.194,183152.0,216.7,2707292160,,
9190,3.0375,0.000327,0.186,183124.0,217.0,2710241280,,
9200,3.0841,0.000326,0.177,183143.0,217.3,2713190400,,
9210,3.0641,0.000326,0.183,183113.0,217.6,2716139520,,
9220,3.0905,0.000326,0.185,183149.0,217.8,2719088640,,
9230,3.1111,0.000325,0.178,175667.0,218.1,2722037760,,
9240,3.0979,0.000325,0.196,183013.0,218.4,2724986880,,
9250,3.0017,0.000324,0.187,183086.0,218.6,2727936000,,
9260,3.1101,0.000324,0.189,183053.0,218.9,2730885120,,
9270,3.0818,0.000323,0.178,183030.0,219.2,2733834240,,
9280,3.094,0.000323,0.178,182996.0,219.4,2736783360,,
9290,3.0803,0.000323,0.175,182973.0,219.7,2739732480,,
9300,3.0953,0.000322,0.192,183066.0,220.0,2742681600,,
9310,3.0568,0.000322,0.185,183069.0,220.3,2745630720,,
9320,3.0654,0.000321,0.19,183122.0,220.5,2748579840,,
9330,3.0725,0.000321,0.184,183112.0,220.8,2751528960,,
9340,3.0765,0.00032,0.173,183076.0,221.1,2754478080,,
9350,3.0379,0.00032,0.181,182952.0,221.3,2757427200,,
9360,3.0763,0.00032,0.18,183087.0,221.6,2760376320,,
9370,3.058,0.000319,0.186,183062.0,221.9,2763325440,,
9380,3.0687,0.000319,0.193,183091.0,222.1,2766274560,,
9390,3.0697,0.000318,0.195,183074.0,222.4,2769223680,,
9400,3.0231,0.000318,0.186,183092.0,222.7,2772172800,,
9410,3.0671,0.000317,0.179,183029.0,222.9,2775121920,,
9420,3.0468,0.000317,0.173,182979.0,223.2,2778071040,,
9430,3.0937,0.000316,0.194,182988.0,223.5,2781020160,,
9440,3.0977,0.000316,0.191,183100.0,223.7,2783969280,,
9450,3.0192,0.000316,0.18,183066.0,224.0,2786918400,,
9460,3.0847,0.000315,0.179,183108.0,224.3,2789867520,,
9470,3.0519,0.000315,0.194,183141.0,224.5,2792816640,,
9480,3.0705,0.000314,0.176,183141.0,224.8,2795765760,,
9490,3.0821,0.000314,0.193,183054.0,225.1,2798714880,,
9500,3.0232,0.000313,0.183,182875.0,225.4,2801664000,3.1486,3.062
9510,3.0156,0.000312,0.184,61165.0,226.2,2804613120,,
9520,3.0499,0.000312,0.176,174469.0,226.4,2807562240,,
9530,3.0427,0.000311,0.203,183151.0,226.7,2810511360,,
9540,3.0841,0.000311,0.183,183084.0,227.0,2813460480,,
